Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Afghanistan,AFG,..,..,2.25547064,2.18811923,1.37000276,1.77506958,1.86067399,2.01440592,2.01440592,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Albania,ALB,..,7.06998935,8.46404192,9.66837388,9.3258942,9.47943836,9.55399107,9.50813332,9.50813332,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Algeria,DZA,..,8.78805294,9.54484255,9.27183241,10.05011801,11.85091251,11.61065026,10.73309032,10.73426065,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Andorra,AND,..,12.99244389,10.89236693,11.57501804,12.46814093,13.43714461,14.95778046,15.24368464,14.01755583,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Angola,AGO,..,2.73858266,4.24956807,4.58056899,4.20151311,4.57540098,3.61568026,4.56262557,5.43269667,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Antigua and Barbuda,ATG,..,11.30604288,16.9909847,16.05103646,16.09008273,15.55126966,17.86202805,12.30343753,10.75906393,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Argentina,ARG,..,17.81988375,16.69300513,16.27798087,16.66147923,16.60215645,16.31690789,16.57425051,13.56202729,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Armenia,ARM,..,4.17174837,6.44314801,6.66889327,6.87375957,6.20713575,6.27526066,6.1153032,6.05354742,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
