Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Afghanistan,AFG,121.1,90.6,64.3,61.9,59.5,57.3,55.1,53.1,51.2,49.5,47.9,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Albania,ALB,35.2,23,11.9,11,10.2,9.5,8.9,8.5,8.2,8,7.8,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Algeria,DZA,41.8,33.9,23.5,22.9,22.4,22.1,21.8,21.4,21,20.6,20.1,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Andorra,AND,9.4,5.9,3.9,3.7,3.6,3.4,3.2,3.1,3,2.8,2.7,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Angola,AGO,132,122.2,76,71.5,67.3,63.6,60.5,57.8,55.5,53.4,51.6,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Antigua and Barbuda,ATG,23.6,13.1,7.7,7.2,6.7,6.3,6,5.7,5.4,5.2,5,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Argentina,ARG,25.3,17.5,12.9,12.4,11.8,11.3,10.7,10.2,9.7,9.3,8.8,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Armenia,ARM,41.8,27.1,16.5,15.7,14.9,14.2,13.5,12.8,12.2,11.6,11,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Australia,AUS,7.6,5.1,4,3.8,3.6,3.5,3.3,3.2,3.2,3.1,3.1,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Austria,AUT,8,4.6,3.6,3.5,3.3,3.2,3.1,3,3,2.9,2.9,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Azerbaijan,AZE,76.1,61.3,32.8,30.7,28.7,26.8,25,23.3,21.8,20.4,19.2,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,"Bahamas, The",BHS,19.7,13,10.5,10.2,9.9,9.6,9.3,9.1,8.8,8.6,8.3,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Bahrain,BHR,19.5,10.8,7.3,7,6.8,6.7,6.6,6.5,6.4,6.2,6.1,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Bangladesh,BGD,99.6,63.9,38.9,36.8,34.9,33,31.3,29.6,28,26.5,25.1,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Barbados,BRB,16.1,13.7,13.5,13.3,13.1,12.8,12.6,12.3,12,11.6,11.3,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Belarus,BLR,12.1,9.9,4.2,3.9,3.6,3.4,3.2,3,2.9,2.7,2.6,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Belgium,BEL,8.3,4.8,3.6,3.5,3.5,3.4,3.3,3.2,3.1,3,2.9,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Belize,BLZ,31.2,20,16.2,15.7,15.2,14.5,13.9,13.2,12.5,11.8,11.2,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Benin,BEN,105.8,86.4,70.8,69.5,68.2,67,65.7,64.4,63.2,61.9,60.5,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Bhutan,BTN,89.3,57.8,34.2,32.6,31.1,29.8,28.6,27.5,26.5,25.6,24.8,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Bolivia,BOL,83.7,55.7,32.6,30.9,29.2,27.7,26.2,24.9,23.8,22.8,21.8,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Bosnia and Herzegovina,BIH,16.1,8.6,6.2,6,5.7,5.6,5.4,5.3,5.2,5.1,5,..
