Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Afghanistan,AFG,0.109,..,0.2396,0.2553,0.245,0.2894,0.3039,0.2907,0.284,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Albania,ALB,1.374,1.389,1.2379,1.2225,1.2658,1.2706,..,..,1.1998,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Algeria,DZA,0.942,..,1.207,..,..,..,..,..,1.83,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Andorra,AND,..,2.549,4,..,..,..,..,3.3333,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Angola,AGO,0.042,..,..,..,..,..,..,..,..,0.2149,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Antigua and Barbuda,ATG,0.76,..,..,..,..,..,..,..,..,2.7647,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Argentina,ARG,2.68,..,3.21,..,..,3.9066,..,..,..,3.96,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Armenia,ARM,3.924,2.987,2.8419,2.8686,2.8991,2.9072,2.899,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Australia,AUS,2.2,2.5,3.3481,3.2963,3.2976,3.3882,3.462,3.5213,3.5874,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Austria,AUT,2.2,3.2,4.7688,4.8031,4.845,4.9316,4.9954,5.0701,5.1441,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Azerbaijan,AZE,3.917,3.607,3.6629,3.4375,3.4901,3.4558,3.4466,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,"Bahamas, The",BHS,1.29,..,..,2.264,..,..,..,..,..,1.9373,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Bahrain,BHR,..,1.0202,0.9493,0.945,0.9568,0.9533,0.957,0.9257,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Bangladesh,BGD,0.177,..,0.3526,0.3724,0.3879,0.4089,0.4737,0.4709,0.4822,0.5268,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Barbados,BRB,1.14,1.3529,1.811,..,..,..,..,..,..,2.4886,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Belarus,BLR,3.56,4.579,3.5179,3.7953,3.8809,3.9331,4.0772,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Belgium,BEL,3.3,3.9,2.9085,2.9222,2.9397,2.9592,2.9729,3.0138,3.3234,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Belize,BLZ,0.639,1.015,0.828,..,1.1494,..,..,..,..,1.1262,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Benin,BEN,0.051,..,0.059,..,0.1646,0.1506,..,..,0.1572,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Bhutan,BTN,0.333,..,0.023,..,0.2576,0.2654,0.3142,0.3188,0.3748,0.3715,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Bolivia,BOL,0.45,..,0.4442,0.4734,..,..,..,..,1.6111,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Bosnia and Herzegovina,BIH,1.57,1.422,1.7907,1.8653,1.9259,2.0003,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Botswana,BWA,..,0.2887,0.4065,0.3993,0.392,..,..,..,0.3688,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Brazil,BRA,1.0839,1.1304,1.8039,1.8382,..,1.8693,..,..,..,2.1502,2.1499,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Brunei Darussalam,BRN,..,1.0084,1.4484,1.5431,1.4911,1.617,1.5035,1.7701,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Bulgaria,BGR,3.17,3.399,3.7764,3.8585,3.9121,3.9761,3.9879,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Burkina Faso,BFA,..,..,0.0457,0.0386,0.0475,..,..,..,0.06,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Burundi,BDI,0.058,0.052,0.0477,..,..,..,..,..,0.05,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Cabo Verde,CPV,..,..,0.5812,0.5747,0.5058,0.5922,..,0.7694,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Cambodia,KHM,..,0.1684,0.2302,0.2264,0.1651,0.4759,0.1682,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Cameroon,CMR,0.082,..,0.0857,0.0898,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Canada,CAN,2.1,..,2.0384,..,2.3962,2.4509,2.4961,2.5388,2.5668,2.6102,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Cayman Islands,CYM,1.7,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Central African Republic,CAF,0.038,..,..,..,..,..,..,0.0629,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Chad,TCD,..,0.0282,..,..,0.0416,0.0436,..,..,0.0475,..,..,..
