Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,Albania,ALB,..,..,..,..,1.6,..,..,..,..,..,..,..
Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,Algeria,DZA,..,..,..,0.8,..,..,..,..,..,..,..,..
Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,Angola,AGO,..,26.9,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,Argentina,ARG,..,5.4,2,0.8,0.9,0.8,0.8,..,0.8,0.7,..,..
Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,Armenia,ARM,..,..,4,3.8,3.4,3.5,3.5,3,2.9,2.5,..,..
Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,Australia,AUS,..,..,0.4,..,..,..,0.6,..,..,..,..,..
